Model,Seed,Precision,Recall,mAP50,mAP50-95
Centralized YOLOv11,42,87.46110020996369,86.53544335235381,90.728622379693,63.787204555096224
Centralized YOLOv11,7,87.46110020996369,86.53544335235381,90.728622379693,63.787204555096224
Centralized YOLOv11,123,87.46110020996369,86.53544335235381,90.728622379693,63.787204555096224
FedAvg,42,86.76512795190999,85.14993496938746,89.69733852210821,62.5454897741468
FedAvg,7,86.76512795190999,85.14993496938746,89.69733852210821,62.5454897741468
FedAvg,123,86.76512795190999,85.14993496938746,89.69733852210821,62.5454897741468
FedProx,42,85.82153106960364,85.70474405891537,88.71060088374657,61.97989445569313
FedProx,7,85.82153106960364,85.70474405891537,88.71060088374657,61.97989445569313
FedProx,123,85.82153106960364,85.70474405891537,88.71060088374657,61.97989445569313
