Method,Round,Parameter_Drift
FedAvg,2,438.66000455617905
FedAvg,3,649.5055264830589
FedAvg,4,865.5752839446068
FedAvg,5,1075.2209443449974
FedProx,2,402.02490498428233
FedProx,3,636.4490799044725
FedProx,4,818.9176871895324
FedProx,5,865.2566436405759
