,Precision,Precision,Recall,Recall,mAP50,mAP50,mAP50-95,mAP50-95
,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,
Centralized YOLOv11,87.4611002099637,0.0,86.53544335235381,0.0,90.728622379693,0.0,63.787204555096224,0.0
FedAvg,86.76512795190997,0.0,85.14993496938746,0.0,89.69733852210821,0.0,62.5454897741468,0.0
FedProx,85.82153106960364,0.0,85.70474405891537,0.0,88.71060088374657,0.0,61.979894455693135,0.0
