Comparison,Δ Precision,Δ Recall,Δ mAP50,Δ mAP50-95
Centralized → FedAvg,0.010000000000000009,-0.017000000000000015,-0.0040000000000000036,-0.0050000000000000044
FedAvg → FedProx,-0.016000000000000014,0.008000000000000007,-0.010000000000000009,-0.0050000000000000044
