Round,FedAvg_mAP50,FedProx_mAP50
1,0.9014724617990856,0.8951808175644672
2,0.8942704008849721,0.8936481216207507
3,0.8934156807132533,0.8938220930289903
4,0.8919755468087974,0.8840957977336762
5,0.8969733852210822,0.8871060088374656
