Model,Precision,Recall,mAP50,mAP50-95
FedAvg,0.8676512795190999,0.8514993496938746,0.8969733852210822,0.625454897741468
FedProx,0.8582153106960364,0.8570474405891537,0.8871060088374656,0.6197989445569313
